,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,10,543.9012135442041,428.90045427240824,534.4068454488328,505.4038343847888,529.91868763675,528.908049633148,524.9040719224054,564.4032605884292,499.40305718707765,530.406934382383,518.9013492098854,540.9008867305182,565.9011322207986,504.90625235221626,479.9100403421804,514.9020314312884,499.9167792023912,489.901183902963,489.4064989825443,497.90817351833624,558.9071540315813,531.4076436833146,523.9089240595924,539.428298296227,532.9003965099894,517.4016718433963,552.4012306449202,485.4168057481646,514.9192225478737,498.4066900752081
11,11,535.9011880831379,441.40035698833424,512.9051742249591,499.90388378685765,534.413621739383,515.4037071071281,522.4048730887893,561.4023378169528,489.40371052727124,517.9071566916924,519.401399371986,547.4008361884016,570.9009828745445,500.90692963341223,481.407593521214,519.9021298554101,502.9209866868668,468.900986294688,483.90472906275795,506.41236745813404,553.4071787326156,530.4075950412775,509.91140467430506,538.9264047630439,542.4004953141269,513.4016935043036,559.4012568660183,493.4132381674304,503.4218411360333,504.9075747091978
12,12,534.4012610461934,460.40043147145315,514.4059837240229,494.4064153237024,530.9127991838827,520.4048274868796,512.406641488512,572.4024366210905,482.4020872936278,506.40737900100214,521.4013754309834,546.4010090956425,578.9009577934942,501.9078280838704,478.4059208855017,521.4028063765746,505.42190755826346,474.40110979985985,477.9073480309335,497.4071777838042,560.906294098626,513.9058247414754,491.4139103700677,536.9186322497206,547.9005447161956,511.40166766322125,572.4013058880712,502.41401273270066,509.42099322769207,502.9092466931031
13,13,531.4012355851271,448.9005808177073,509.4017273257198,496.40985809565086,516.9162069138124,516.4048761289166,505.40758782097527,574.4008627895156,466.40145865446857,514.4064939869966,517.4014742351211,550.4010839587775,579.901007575579,506.41052191518094,482.9076186022643,512.9036295838816,509.42541382054003,486.4012827071006,485.40574949832444,494.40957748279726,562.4080633666055,494.40582474147544,485.40968442837845,533.4186918845488,547.9005690372142,508.9016167410888,572.9013298290737,507.41156553171805,502.4218415160493,501.4125895208664
14,14,531.9011861830585,434.4003604084773,495.9017273257197,486.4064407847686,512.4145356899388,510.904002759509,512.4058908642444,585.9006157791716,472.90143509348195,517.4063704818245,511.9014252130682,542.4009604536055,583.4011550217533,515.4136714784097,475.9076433032987,511.9010337966769,507.92373133208457,484.40125800606614,481.90400351954077,495.9087041133895,566.4073022377876,512.4067220518857,498.4063187996606,536.415535400479,552.4006191993149,505.40159280008623,571.4014027921293,497.91166433585573,517.4286308630357,510.41175390892954
15,15,538.9013093082144,428.40038624955946,487.4017273257197,487.40388378685753,501.41196357194576,508.903152951088,521.4084615703988,590.4007145833091,472.9016057206273,514.9081158088013,509.9013537700764,548.4008377084652,590.4010071955629,511.41277302795163,477.9076680043331,499.901254205907,500.4203479231731,482.40123330503184,472.40492515096963,486.90863191036595,565.9074010419253,496.9059220255494,503.90634350069473,544.4139178141896,540.900667461336,508.90166880326905,580.9015259172854,494.90999170014356,511.92608295783657,533.9184388044239
16,16,530.4013089281984,431.40036192854086,503.9017273257197,483.90565305483705,498.91195051550926,518.9041004235991,532.9042664905534,593.4004181708964,458.9016057206273,511.9089267197039,502.9012302649044,553.900763605362,592.4009080114093,518.4109765070515,469.40851667270647,510.9014274931638,497.9220434680651,480.90120860399725,470.9065996867614,474.90611022626445,558.908285675915,497.40502471513906,522.9048212430594,544.9148187083091,544.9008643095792,506.40169198423973,579.9015251572534,494.90999170014356,530.421767792962,551.9242880879816
17,17,530.4012108840927,419.4001666003612,510.4017273257197,490.4066862750489,498.41281224031906,511.9033505593632,520.4068105955936,594.9005663771027,461.90165436266426,513.9089020186692,502.90125572597077,553.4007138232774,580.4010550775681,518.9134981911529,462.90597066758636,525.9014301532751,507.9254770390775,471.4011097998598,470.90572669736963,482.909578242829,566.9073516398565,512.407570720259,527.9040107121729,535.9158141710501,549.4007651254258,500.901691224208,570.401474615137,500.9056989562081,535.918349558482,523.4192744163606
18,18,541.901038356868,406.4002642644511,527.4017273257197,489.90501581120725,500.91110184713585,507.4041498256677,516.4093569807295,600.9004922739994,452.40165436266426,507.40553486988773,504.40118162286745,530.9005412960527,587.4009558934146,526.9193906077453,465.40766800433295,525.9013815112381,495.42797299032156,465.4009862946879,468.9040046595885,474.4087774564607,571.4041589183792,508.9084193886323,535.404796542025,529.9148536421029,546.400715723357,504.4016653831258,575.9014518141821,489.9048255868003,523.9201677402893,490.42178049213936
19,19,547.400989714831,392.90019282145926,529.9017273257197,488.4041786792067,506.41534518900266,514.4041498256677,517.4135995625644,593.4004922739996,443.9016543626643,513.4046498558822,504.90113260081444,535.4007142032933,597.9008589893566,523.4175978870043,458.9085166727063,518.9013074081349,479.9237420530847,474.40106039779084,475.9073267500423,481.40800175114293,565.9050188513346,487.40747343618517,555.9022908462623,530.4192829476468,550.4007662654734,505.40169008416024,573.9014024121133,500.4048008857659,521.9175464920182,519.9217801121234
20,20,543.9009885747831,387.9003634486046,539.9017273257197,479.90334648741316,508.41958853086953,508.9041251246333,501.42208472623383,598.9005416760683,453.4016300416458,509.4037154398077,503.40120556386995,543.900763605362,594.9010296165018,523.4182994892187,452.9085166727063,520.9013568102038,465.41690037212715,467.4010109957222,466.4056050922771,487.40800137112717,575.4050188513346,495.9091221308946,565.4014309133069,535.9124978361762,545.4006697414313,504.40166690318955,580.9015255372694,493.90555075000157,519.9200434750853,534.423451716013
