,iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,500,554.2753624496993,515.6041733736809,582.448610983852,576.3430151002707,558.6183798315735,552.3132787519665,583.6655011198172,557.9037612662938,557.0751004693726,580.1025482035815,574.5299718363117,566.7862000605685,593.2865070253515,559.7972849307656,595.6671082171995,554.1147348563177,562.9154224711738,557.254853335984,570.084568064886,571.6630599030341,541.7662924282695,564.8997974451253,581.0002898701026,551.6466233620683,582.6261239540313,587.4507172615565,556.7691873520286,545.7417345054596,585.0080238762355,549.5607077353093
11,550,558.9889437518308,524.4829186043734,585.7327684921632,579.3037581046693,563.3157763639516,566.4777751925079,587.7097094330096,563.8830772239464,558.6139162168977,584.4965318549163,582.5257139140787,573.3995034175495,604.3583098180798,563.2825929278886,601.2119113947031,560.0463556283953,574.8736466124585,564.3856418769196,575.1232897704804,584.1719234902488,550.9178818171655,571.2115210763167,587.6238512825068,560.1146630853347,588.786492368824,594.314443692696,565.31280519342,551.2752483691103,590.516345914109,555.0354546112717
12,600,566.5007047355755,534.7639627086667,591.2098613004874,582.2647378925026,566.4544821505773,572.7572733200606,588.9636252565452,572.258501076842,566.9731426120437,584.6602979533628,589.2407426579352,579.3906095494776,607.0282065909491,570.6503052153603,607.9933623904716,568.7688440996199,587.8428183818709,567.0539722853657,578.3115537045488,592.5629777073935,557.057852240692,577.0025429638097,585.6293871279872,560.3119700605123,593.2305821076905,598.4859747259844,572.6613786698769,554.323536058111,595.49076905298,559.6306139640322
13,650,574.3967262109741,545.2478545819055,594.3263686835243,585.7159328463526,569.1731361555271,576.1104079143743,589.8701206642588,574.6012918186125,576.6804779840878,590.0609221574474,584.4846764005976,581.1331318345656,609.9574640601925,580.8766076904814,610.7627097334054,573.0906890395404,598.5223301163329,579.6125982457437,581.2705259376803,599.1109103882685,565.5813391653808,581.6335886593092,592.0258434552237,568.5276733170911,601.8975890420763,602.329174053796,579.1459669615808,554.0060719503869,603.0353755201617,561.2986257312135
14,700,580.4433421930279,553.3886519069632,596.799292131301,582.6976654390012,573.08369070576,581.4038184156472,591.1230896561033,581.6706896233256,579.4505719557878,594.7378153892437,591.6487798880139,583.8243360720721,609.2469891368548,587.7663456779842,615.7649852748727,578.3219043773454,607.7721319425268,581.1653130079146,582.0379727477005,607.7878632645371,566.5101408207066,587.6065525976229,593.1516782264137,575.1216489142876,606.302763318165,604.7694167213426,583.0491956112706,562.1297902478422,607.6124762954671,564.0481069521828
15,750,586.2674524513645,559.6637105524568,597.4709433426489,585.7643841417124,575.6131555415647,588.3839940801641,593.0359146247196,587.8600481196595,586.771241440228,595.9947937174312,594.8361464733416,586.0091460327119,612.0830257172746,593.866444790004,615.3081902748627,585.0384624857372,611.5526055752989,587.8813518901503,589.2870724926422,612.248189999021,568.6588834625563,589.8484671974843,595.4495488679489,578.5526296892798,610.0823385196354,607.6942952862888,586.3425037201623,565.1469898836715,608.4134275430519,571.728044690397
16,800,591.381153135058,563.8941400464578,598.5909878783627,586.820243774463,573.6697100820469,590.5029212375327,596.6511120491461,594.3531214271534,592.1730339246637,600.2285002407392,590.137253413025,592.6871359850022,608.8119307413317,597.1773366337985,617.5660033768809,586.9709365773356,610.9379807820084,590.2073791023145,594.3893304906204,613.130422033617,573.730785443692,591.9048025293799,593.8308806673521,579.7369502716635,614.6481263547039,612.0921873416764,587.5858408216317,566.872916801148,610.089070451174,576.5037340314116
17,850,594.8439267284325,570.2708946344683,601.6585608739667,586.8364791781341,575.9084445504457,591.0537815504093,597.4336632061512,597.7226254596918,595.5388082847759,600.5382089110489,597.0548220692395,593.6127077600893,609.7318938873218,603.65426578822,615.2716900188359,594.3871785653306,614.0086445793236,590.4535919913719,597.5113070703735,615.6143287340385,577.6520682918058,594.1973731268725,595.0822863399591,581.9952055537717,614.7504537972204,610.715315076419,590.0526147503643,569.373250245872,614.7781490843196,579.0292615206432
18,900,597.9823076287638,571.8010694822605,603.4278629967065,590.6014148071654,583.6855558313413,598.1176374876201,597.8528700283846,596.6278515933299,595.6871169556946,603.4882047155431,601.0378688874688,596.9871474215588,614.2667633655255,605.4003958546211,616.4993729896516,596.5804378965582,616.1056562446232,591.9290319805634,604.9529259214379,616.5240918422228,580.9401299277746,593.8739172574024,595.1863335606304,582.8365862165023,618.6601097830171,614.8426679637043,592.7095156578197,570.7688545160777,611.9883448077495,583.2997661339273
19,950,601.3432770183103,577.9991219539619,604.2852271280215,591.4343018917364,587.7592722049942,599.8609467076011,600.4063870893676,601.762301869775,600.4804673327494,608.9341953028227,596.1195913389397,597.07246600493,616.1421072380468,607.9809335767382,616.1817202379095,601.3138611732227,618.5566830270526,593.2590498652461,607.6529023737988,614.2930861978961,588.6424959732926,598.383236463879,595.855779389244,584.3660081500702,618.081748866263,615.8874512672143,592.8882884603678,574.8807819450732,608.8386538594076,585.9946899411339
20,1000,603.8183884680077,580.9309225927939,605.7702039364274,590.0365499117287,590.3520904826086,602.598791423165,604.9352933096559,604.4952077751905,605.0471206204405,610.137531222801,597.3335907429415,599.6236199250833,614.0136597603262,608.6098134646624,616.3115881764811,603.6437683682896,619.3117051744746,593.3071135909748,608.6973615503822,613.0147253650739,592.7600436987748,599.328873129683,598.8294810519194,585.4157329713595,619.5012347834513,617.0625965805356,591.3346734771472,578.3555286605609,611.7851215078213,585.4974106265756
21,1050,605.7245003829652,581.6547970188259,609.391122208678,591.7852982515175,594.4949405962075,595.7178238283999,601.5188367793801,606.4702206234297,604.3049394058966,609.8151032215175,606.067439804955,601.7280299889261,613.2737782547175,609.345057870386,618.0718606146967,606.6639613882525,616.9239287247725,593.784926169431,615.8351781316933,615.2007126896132,594.147197070369,598.6893218109527,598.2189004603251,584.9588423902596,619.3825862917922,616.3172566030045,595.9847850933112,584.242324004272,613.4677762055442,591.1765197786265
