,iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,100,445.4318558797755,531.3669050007196,564.6594933499874,536.1982615814828,516.413126091165,497.454282489722,562.0918076924283,559.9935392618909,576.1320424589902,505.8249077879027,541.8201584072877,564.3071093104738,528.2703691328244,502.2684078831563,498.0498695308587,457.84552481494245,531.346901949464,531.1601194995827,538.4517123011404,463.53710968061114,543.5015258548791,535.4669005002892,543.563169258133,557.9881837494194,524.4816684871075,572.2488356312632,540.3282301500886,569.2919061051861,550.9400917893003,533.5442805252493
11,110,528.2398784162285,531.3669050007196,564.6594933499874,536.1982615814828,535.1815846965789,499.6372329819962,549.6831769149208,559.9935392618909,553.326226496197,520.997316688525,531.4842760405046,564.3071093104738,528.2703691328244,536.7238341884528,498.0498695308587,488.1964808322191,514.4087709193284,500.86846439568137,541.5886973912927,477.5541708137472,543.5015258548791,486.27260143379425,543.563169258133,523.6599152142423,534.711955990428,531.6350977593918,540.3282301500886,579.6441369686091,555.4552351547926,533.5442805252493
12,120,528.2398784162285,531.3669050007196,564.6594933499874,493.187768843324,559.8448048920018,520.4397106197989,562.0918076924283,420.46734695329616,576.1320424589902,520.997316688525,541.8201584072877,500.8265295422245,528.2703691328244,543.1466245413628,498.0498695308587,488.1964808322191,478.64519009158784,531.1601194995827,541.5886973912927,486.9567876798689,543.5015258548791,535.4669005002892,543.563169258133,454.7057512699715,593.3346592798841,572.2488356312632,540.3282301500886,579.6441369686091,543.9222551343385,533.5442805252493
13,130,528.2398784162285,531.3669050007196,564.6594933499874,536.1982615814828,579.5753810483402,482.5382058160485,562.0918076924283,489.54719030379584,562.3005621877458,520.997316688525,541.8201584072877,564.3071093104738,512.1786309930008,542.887909719669,498.0498695308587,488.1964808322191,531.346901949464,531.1601194995827,563.8257365720519,514.1109560587792,415.2580415859061,535.4669005002892,495.494685547273,557.9881837494194,571.036012119433,572.2488356312632,540.3282301500886,566.2483179781377,555.4552351547926,533.5442805252493
14,140,528.2398784162285,531.3669050007196,564.6594933499874,536.1982615814828,559.84270460839,522.0756833193515,562.0918076924283,559.9935392618909,576.1320424589902,520.997316688525,541.8201584072877,564.3071093104738,528.2703691328244,562.8139615823129,430.4394439822221,488.1964808322191,382.14643319806413,509.2986175075154,563.8257365720519,514.1109560587792,504.51311297176755,535.4669005002892,543.563169258133,525.4592454473691,593.3346592798841,483.4267839017331,524.9915672329156,579.6441369686091,555.4552351547926,533.5442805252493
15,150,528.2398784162285,494.86190767622776,536.8343338479029,536.1982615814828,579.5753810483402,530.8430194858265,486.0973686423331,559.9935392618909,576.1320424589902,520.997316688525,541.8201584072877,564.3071093104738,519.943986702129,562.8139615823129,498.0498695308587,488.1964808322191,531.346901949464,531.1601194995827,530.3364832929491,467.88150642426245,543.5015258548791,512.0187533537952,543.563169258133,557.9881837494194,593.3346592798841,418.7246822560036,540.3282301500886,538.1490141259109,555.4552351547926,533.5442805252493
16,160,528.2398784162285,531.3669050007196,564.6594933499874,512.301754159516,550.7588622581551,530.8430194858265,562.0918076924283,559.9935392618909,576.1320424589902,520.997316688525,541.8201584072877,564.3071093104738,511.54840356937814,562.8139615823129,498.0498695308587,294.91880593157805,531.346901949464,531.1601194995827,429.1287598544586,492.07284086157017,543.5015258548791,491.6764945740455,543.563169258133,557.9881837494194,577.3095626741741,572.2488356312632,540.3282301500886,579.6441369686091,550.321304691234,533.5442805252493
17,170,528.2398784162285,492.70848256954866,530.488270052959,457.87725395578684,557.3652073136107,530.8430194858265,516.8593420490681,541.1925591198177,576.1320424589902,520.997316688525,518.0118948948527,481.4376989858059,519.8364062610494,562.8139615823129,481.9628639310491,379.8314199757291,531.346901949464,531.1601194995827,563.8257365720519,448.6433670999484,526.2372308051088,535.4669005002892,534.1737360881446,509.9634704819832,593.3346592798841,572.2488356312632,540.3282301500886,579.6441369686091,531.0195434106768,533.5442805252493
18,180,528.2398784162285,513.9296633724423,533.2482911300953,536.1982615814828,579.5753810483402,530.8430194858265,562.0918076924283,559.9935392618909,563.256396360704,520.997316688525,541.8201584072877,564.3071093104738,523.1159550200858,562.8139615823129,498.0498695308587,470.0765140996688,531.346901949464,531.1601194995827,563.8257365720519,514.1109560587792,543.5015258548791,535.4669005002892,516.4211411744933,542.0536449700406,593.3346592798841,572.2488356312632,522.7501457140122,579.6441369686091,555.4552351547926,499.63818811865497
19,190,528.2398784162285,531.3669050007196,564.6594933499874,400.9663696098167,579.5753810483402,530.8430194858265,562.0918076924283,559.9935392618909,576.1320424589902,520.997316688525,541.8201584072877,525.4401085554551,519.8206306136295,471.0551144526815,498.0498695308587,462.19438897583467,531.346901949464,531.1601194995827,531.9870725953768,514.1109560587792,514.9100331135048,535.4669005002892,543.563169258133,544.0677548755665,567.701405673178,560.9955987716751,494.176158960036,541.3131314266112,555.4552351547926,533.5442805252493
20,200,528.2398784162285,531.3669050007196,546.1643181104162,514.2220712771477,579.5753810483402,514.8596450786453,542.2079530328566,452.92485733114484,576.1320424589902,396.1495404734549,541.8201584072877,564.3071093104738,534.1771727155008,562.8139615823129,498.0498695308587,463.5804514517231,531.346901949464,531.1601194995827,563.8257365720519,514.1109560587792,530.9079917582379,535.4669005002892,529.2923336650505,544.3725426465505,593.3346592798841,572.2488356312632,540.3282301500886,481.1523336821924,555.4552351547926,533.5442805252493
21,210,528.2398784162285,531.3669050007196,564.6594933499874,508.1705152473063,538.6898812326327,530.8430194858265,562.0918076924283,559.9935392618909,496.5028688425115,520.997316688525,541.8201584072877,564.3071093104738,560.423213687526,535.5953971409486,490.63869471509327,454.15269078154716,531.346901949464,531.1601194995827,563.8257365720519,514.1109560587792,543.5015258548791,517.9653574425187,520.591850267863,508.11701953182376,575.2074077754955,572.2488356312632,528.5323116996697,579.6441369686091,528.224611030312,533.5442805252493
